Período,DEPARTAMENTO,SE SINTIERON ALGUNA VEZ DISCRIMINADOS,Numero Faltas
Nov 2015 - Abr 2016,SAN MARTÍN,PARA ELEGIR AUTORIDADES,64.076310000000007
Nov 2015 - Abr 2016,SAN MARTÍN,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,68.770619999999994
Nov 2015 - Abr 2016,TACNA,PARA ELEGIR AUTORIDADES,72.410529999999994
Nov 2015 - Abr 2016,TACNA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,76.931799999999996
Nov 2015 - Abr 2016,TUMBES,PARA ELEGIR AUTORIDADES,33.627650000000003
Nov 2015 - Abr 2016,TUMBES,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,57.19415
Nov 2015 - Abr 2016,UCAYALI,PARA ELEGIR AUTORIDADES,54.282539999999997
Nov 2015 - Abr 2016,UCAYALI,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,53.874310000000001
Dic 2015 - May 2016,AMAZONAS,PARA ELEGIR AUTORIDADES,64.108680000000007
Dic 2015 - May 2016,AMAZONAS,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,70.733459999999994
Dic 2015 - May 2016,ANCASH,PARA ELEGIR AUTORIDADES,85.521600000000007
Dic 2015 - May 2016,ANCASH,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,79.431349999999995
Dic 2015 - May 2016,APURÍMAC,PARA ELEGIR AUTORIDADES,45.334519999999998
Dic 2015 - May 2016,APURÍMAC,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,52.100760000000001
Dic 2015 - May 2016,AREQUIPA,PARA ELEGIR AUTORIDADES,67.397589999999994
Dic 2015 - May 2016,AREQUIPA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,66.34693
Dic 2015 - May 2016,AYACUCHO,PARA ELEGIR AUTORIDADES,52.436770000000003
Dic 2015 - May 2016,AYACUCHO,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,56.692749999999997
Dic 2015 - May 2016,CAJAMARCA,PARA ELEGIR AUTORIDADES,39.091889999999999
Dic 2015 - May 2016,CAJAMARCA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,67.619630000000001
Dic 2015 - May 2016,CUSCO,PARA ELEGIR AUTORIDADES,56.18365
Dic 2015 - May 2016,CUSCO,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,42.540390000000002
Dic 2015 - May 2016,HUANCAVELICA,PARA ELEGIR AUTORIDADES,71.071780000000004
Dic 2015 - May 2016,HUANCAVELICA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,33.610109999999999
Dic 2015 - May 2016,HUÁNUCO,PARA ELEGIR AUTORIDADES,66.319609999999997
Dic 2015 - May 2016,HUÁNUCO,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,59.738729999999997
Dic 2015 - May 2016,ICA,PARA ELEGIR AUTORIDADES,55.686819999999997
Dic 2015 - May 2016,ICA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,57.042940000000002
Dic 2015 - May 2016,JUNÍN,PARA ELEGIR AUTORIDADES,55.393659999999997
Dic 2015 - May 2016,JUNÍN,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,41.116709999999998
Dic 2015 - May 2016,LA LIBERTAD,PARA ELEGIR AUTORIDADES,67.467129999999997
Dic 2015 - May 2016,LA LIBERTAD,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,70.015159999999995
Dic 2015 - May 2016,LAMBAYEQUE,PARA ELEGIR AUTORIDADES,65.094499999999996
Dic 2015 - May 2016,LAMBAYEQUE,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,57.058120000000002
Dic 2015 - May 2016,LIMA,PARA ELEGIR AUTORIDADES,47.741840000000003
Dic 2015 - May 2016,LIMA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,50.348790000000001
Dic 2015 - May 2016,PROVINCIA DE LIMA,PARA ELEGIR AUTORIDADES,48.040460000000003
Dic 2015 - May 2016,PROVINCIA DE LIMA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,50.005499999999998
Dic 2015 - May 2016,PROVINCIA CONSTITUCIONAL DEL CALLAO,PARA ELEGIR AUTORIDADES,41.78922
Dic 2015 - May 2016,PROVINCIA CONSTITUCIONAL DEL CALLAO,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,47.911940000000001
Dic 2015 - May 2016,REGION LIMA,PARA ELEGIR AUTORIDADES,50.50038
Dic 2015 - May 2016,REGION LIMA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,56.316139999999997
Dic 2015 - May 2016,LORETO,PARA ELEGIR AUTORIDADES,82.973380000000006
Dic 2015 - May 2016,LORETO,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,76.292829999999995
Dic 2015 - May 2016,MADRE DE DIOS,PARA ELEGIR AUTORIDADES,56.818190000000001
Dic 2015 - May 2016,MADRE DE DIOS,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,56.380960000000002
Dic 2015 - May 2016,MOQUEGUA,PARA ELEGIR AUTORIDADES,25.45157
Dic 2015 - May 2016,MOQUEGUA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,64.457800000000006
Dic 2015 - May 2016,PASCO,PARA ELEGIR AUTORIDADES,39.151589999999999
Dic 2015 - May 2016,PASCO,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,42.83137
Dic 2015 - May 2016,PIURA,PARA ELEGIR AUTORIDADES,63.568269999999998
Dic 2015 - May 2016,PIURA,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,46.972969999999997
Dic 2015 - May 2016,PUNO,PARA ELEGIR AUTORIDADES,58.501309999999997
Dic 2015 - May 2016,PUNO,PARA QUE LOS DERECHOS DE LAS PERSONAS SEAN RESPETADOS,49.226210000000002
Dic 2015 - May 2016,SAN MARTÍN,PARA ELEGIR AUTORIDADES,64.293589999999995
