AÑO,MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,CODINFOR,UBIGEO,DOMINIO,ESTRATO,P32,P33_1,P33_2,P34,P37,P38,P38A,P39A,P40$1,P40$2,P40$3,P40$4,P40$5,P40$6,P40$7,P40$8,P41,P42$1,P42$2,P42$3,P42$4,P42$5,P42$6,P42$7,P42$8,P43,P45_1,P45_2,P46,P47,FACTOR07
2009,04,0001,010,11,01,01,010101,4,4,2,2,2, ,3,1500,2,4,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,3,3,6,6,197.82
2009,04,0001,019,11,01,01,010101,4,4,4,3,2, ,2,3500,2,2,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,1,6,6,197.82
2009,04,0001,027,11,01,01,010101,4,4,1,3,2, ,3,600,3,2,0,0,0,0,0,0,0,1, , , , , , , , , , ,2,2,7,6,197.82
2009,04,0001,035,11,01,01,010101,4,4,2,3,2, ,3,1000,3,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,1,6, ,197.82
2009,04,0001,054,11,01,01,010101,4,4,2,2,2, ,3,1000,3,4,0,0,0,0,0,0,0,1, , , , , , , , , , ,10,3,6,6,197.82
2009,04,0001,062,11,02,02,010101,4,4,4,2,2, ,3,800,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,3,1,6,6,197.82
2009,08,0002,018,11,02,02,010101,4,4,2,3,3, ,2,1800,1,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,10,10,9,5,255.91
2009,08,0002,031,11,02,02,010101,4,4,1,1,1,6,3,1000,3,4,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,10,10,9,6,255.91
2009,08,0002,044,11,01,01,010101,4,4,2,2,2, ,3,2000,3,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,2,2,6, ,255.91
2009,08,0002,058,11,02,02,010101,4,4,2,1,1,6,3,1500,1,4,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,3,6,6,255.91
2009,08,0002,110,11,01,01,010101,4,4,2,2,2, ,3,1500,3,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,3,6,9,255.91
2009,09,0003,038,11,01,01,010101,4,4,4,3,2, ,3,700,2,2,0,0,0,0,0,0,0,1, , , , , , , , , , ,1,1,6, ,255.91
2009,09,0003,053,11,01,01,010101,4,4,2,3,2, ,3,3000,3,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,3,2,6, ,255.91
2009,09,0003,091,11,01,01,010101,4,4,1,3,2, ,3,1200,2,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,2,2,5,6,255.91
2009,09,0003,116,11,01,01,010101,4,4,2,3,2, ,3,1500,2,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,5,1,6, ,255.91
2009,10,0004,009,11,01,01,010101,4,4,3,2,2, ,3,1500,1,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,3,6, ,245.73
2009,10,0004,120,11,01,01,010101,4,4,2,2,2, ,3,99999,1,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,10,10,6, ,245.73
2009,11,0005,013,11,01,01,010101,4,4,1,1,1,7,3,3000,3,4,0,0,0,0,0,0,0,1, , , , , , , , , , ,5,4,6,9,92.5
2009,11,0005,026,11,02,02,010101,4,4,4,2,2, ,2,1000,2,2,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,3,6,6,92.5
2009,11,0005,051,11,01,01,010101,4,4,1,1,2, ,3,1500,3,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,2,1,6,6,92.5
2009,11,0005,063,11,02,02,010101,4,4,2,3,2, ,3,300,2,2,0,0,1,0,0,0,0,0,4, , , , , , , , , ,1,1,1,6,92.5
2009,11,0005,074,11,02,02,010101,4,4,2,2,2, ,3,800,2,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,3,6,6,92.5
2009,11,0005,098,11,01,01,010101,4,4,1,2,1,6,3,700,2,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,3,6, ,92.5
2009,12,0006,002,11,02,02,010101,4,4,2,3,2, ,3,600,1,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,10,1,9,6,245.73
2009,12,0006,012,11,02,02,010101,4,4,2,2,1,5,3,600,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,5,9,6,245.73
2009,12,0006,044,11,01,01,010101,4,4,2,1,2, ,3,800,1,2,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,2,6,6,245.73
2009,12,0006,054,11,02,02,010101,4,4,4,2,2, ,3,99999,1,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,10,10,9,6,245.73
2009,12,0006,066,11,01,01,010101,4,4,2,3,2, ,3,1500,3,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,10,10,5, ,245.73
2009,01,0007,007,11,01,01,010101,4,4,4,2,2, ,2,1300,1,3,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,3,2,6,6,74.06
2009,01,0007,042,11,01,01,010101,4,4,4,3,3, ,3,800,1,2,0,0,0,0,0,0,0,1, , , , , , , , , , ,2,2,6,9,74.06
2009,01,0007,052,11,01,01,010101,4,4,4,3,3, ,3,600,1,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3,1,6,6,74.06
2009,01,0007,065,11,01,01,010101,4,4,3,2,2, ,3,800,1,2,0,0,0,0,0,0,0,1, , , , , , , , , , ,5,3,6, ,74.06
2009,01,0007,077,11,01,01,010101,4,4,2,1,2, ,2,99999,1,1,0,0,0,0,0,0,0,1, , , , , , , , , , ,10,1,6,6,74.06
2009,01,0007,098,12,02,02,010101,4,4,4,3,3, ,3,2000,1,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,3,7,9,6,74.06
2009,01,0007,098,22,01,01,010101,4,4,3,3,2, ,3,2000,1,2,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,7,6,6,74.06
2009,02,0008,001,11,01,01,010101,4,4,4,2,2, ,3,200,2,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,2,1,6,6,74.06
2009,02,0008,026,11,01,01,010101,4,4,2,1,1,6,3,600,2,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,1,6,6,74.06
2009,02,0008,042,11,01,01,010101,4,4,2,2,2, ,3,3000,2,3,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,5,5,5, ,74.06
2009,02,0008,070,11,01,01,010101,4,4,2,2,2, ,2,1000,1,2,0,0,0,0,0,0,0,1, , , , , , , , , , ,2,1,6, ,74.06
2009,02,0008,083,11,01,01,010101,4,4,4,2,2, ,3,400,3,2,0,0,0,0,0,0,0,1, , , , , , , , , , ,1,2,6,6,74.06
2009,02,0008,104,11,02,02,010101,4,4,4,3,2, ,3,1000,2,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,3,3,6,6,74.06
2009,03,0009,013,11,01,01,010101,4,4,2,2,2, ,3,800,2,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,3,6, ,74.06
2009,03,0009,046,11,01,01,010101,4,4,1,2,1,6,4,500,3,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,3,6,9,74.06
2009,03,0009,075,11,02,02,010101,4,4,2,2,2, ,3,900,3,2,0,0,0,0,0,0,0,1, , , , , , , , , , ,10,3,9,6,74.06
2009,03,0009,089,11,01,01,010101,4,4,2,2,1,7,3,7000,3,2,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,2,6,1,74.06
2009,03,0009,103,11,01,01,010101,4,4,2,2,1,6,3,900,2,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,2,2,6,1,74.06
2009,03,0009,134,11,01,01,010101,4,4,3,3,2, ,3,250,1,2,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,3,5,6,74.06
2009,04,0010,011,11,01,01,010101,4,4,2,3,2, ,3,2000,2,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,2,3,3,6,6,74.47
2009,04,0010,023,11,01,00,010101,4,4,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,74.47
2009,04,0010,037,11,01,01,010101,4,4,3,2,3, ,3,1700,3,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,2,2,6,6,74.47
2009,04,0010,072,11,01,01,010101,4,4,4,2,2, ,3,500,3,4,0,0,0,0,0,0,0,1, , , , , , , , , , ,10,1,6, ,74.47
2009,04,0010,084,11,02,02,010101,4,4,4,2,2, ,3,3000,2,3,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,3,9,6,74.47
2009,05,0011,008,11,01,01,010101,4,4,2,2,1,5,3,500,3,3,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,1,6, ,74.47
2009,05,0011,028,11,02,02,010101,4,4,2,2,2, ,3,150,2,3,0,0,1,0,1,0,0,0,3,0,0,0,0,1,0,0,0,2,2,2,9,6,74.47
2009,05,0011,038,11,01,01,010101,4,4,3,1,1,6,3,4000,2,2,0,0,0,0,0,0,0,1, , , , , , , , , , ,3,3,1,1,74.47
