AÑO,MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,CODINFOR,UBIGEO,DOMINIO,ESTRATO,P23,P24_1,P24_2,P24_3,P24_4,P24_5,P24_6,P24_7,P24_8,P24_9,P24_10,P24_11,P25,P26_1,P26_2,P26_3,P26_4,P26_5,P26_6,P26_7,P26_8,P26_9,P26_10,P26_11,P26_12,P26_13,P27_1,P27_2,P27_3,P27_4,P27_5,P27_6,P27_7,P28,P29_1,P29_2,P29_3,P29_4,P29_5,P29_6,P32,P33_1,P33_2,P34,P34A,P34B,P34C,P34D,P37,P38,P38A,P39B1,P39B2,P40$1,P40$2,P40$3,P40$4,P40$5,P40$6,P40$7,P40$8,P41,P42A$1,P42A$2,P42A$3,P42A$4,P42A$5,P42A$6,P42A$9,P42A$7,P42A$8,P43,P44,P45_1,P45_2,P203_02,P204_02,P205_02,P206_02,P207_02,P208_02,P209_02,P301_02,TICUEST01B,FACTOR
2024,04,015001,003,11,02,02,010101,4,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,2, ,2,2, , ,3,600,1,5, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,3,2,2,1,2, ,2,38,1,6,2,268.757224017097
2024,04,015001,024,11,01,01,010101,4,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2, ,3,3,2,2,3,2000,2,3, ,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,2,2,2,1,1,2, ,2,49,3,5,2,268.757224017097
2024,04,015001,065,11,01,01,010101,4,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2, , , , , ,3,800,1,4, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,3,2,1,1,2, ,1,42,1,8,2,268.757224017097
2024,04,015001,085,11,01,01,010101,4,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,1,8,3,3, , ,3,2000,3,7, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,3,2,1,1,2, ,1,56,1,11,2,268.757224017097
2024,04,015001,126,11,01,01,010101,4,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,3, ,3,3, , ,2,4000,1,2, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,2,2,1,1,1, ,2,58,1,5,2,268.757224017097
2024,04,015001,163,11,01,01,010101,4,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,2, ,3,3, , ,3,800,2,2, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,2,5,1,1,2, ,1,31,1,10,2,268.757224017097
2024,04,015007,011,11,01,01,010101,4,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2, , , , , ,3,1000,3,6, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,3,3,1,1,2, ,2,67,5,8,2,300.375720960285
2024,04,015007,044,11,01,01,010101,4,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,3, ,2,2, , ,3,5000,3,4, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,9,9,1,1,2, ,2,53,2,10,2,300.375720960285
2024,04,015007,054,11,01,01,010101,4,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,3, ,3,3, , ,2,1500,1,4, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,3,3,1,1,2, ,2,75,3,6,2,300.375720960285
2024,04,015007,063,11,02,02,010101,4,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2, ,5,5, , ,3,2500,3,4, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,7,10,2,1,2, ,2,71,2,4,2,300.375720960285
2024,04,015007,073,11,01,01,010101,4,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2, , , , , ,3,2500,3,3, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,3,3,1,1,2, ,2,56,5,10,2,300.375720960285
2024,04,015007,082,11,01,01,010101,4,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,2, ,2,3,3,3,3,2000,2,4, ,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,3,3,1,1,2, ,2,52,5,6,2,300.375720960285
2024,04,015007,092,11,01,01,010101,4,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3, ,2,4, , ,2,3500,2,4, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,5,7,1,1,2, ,1,73,2,6,2,300.375720960285
2024,04,015025,028,11,01,01,010509,4,5,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2, ,2,2,2,2,3,1500,2,1, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,3,3,1,1,2, ,1,40,2,10,2,400.50096128038
2024,04,015025,065,11,01,01,010509,4,5,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2, ,2,2, , ,3,1000,2,2, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,1,1,1,1,2, ,2,83,3,4,2,400.50096128038
2024,04,015025,084,11,01,01,010509,4,5,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,3, ,4,4, , ,3,6000,3,5, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,5,3,1,1,2, ,2,61,5,8,2,400.50096128038
2024,04,015025,104,11,01,01,010509,4,5,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,3, ,3,3, , ,3,1000,2,2, ,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,5,5,10,1,1,2, ,2,54,5,3,2,400.50096128038
2024,04,015025,124,11,01,01,010509,4,5,2,2,2,2,2,2,2,2,1,2,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0, , , , , , , ,2,3,2, , , , , ,3,1000,2,1, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,10,10,1,1,2, ,1,45,5,7,2,400.50096128038
2024,04,015025,140,11,01,01,010509,4,5,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,2, ,2,2, , ,3,1000,2,1, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,10,1,1,1,2, ,1,55,2,6,2,400.50096128038
2024,04,015027,015,11,01,01,010110,4,5,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,7,3,3,3,3,2,1000,2,3, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,3,1,1,1,2, ,2,41,5,3,2,400.50096128038
2024,04,015027,025,11,01,01,010110,4,5,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2, , , , , ,2,700,2,1, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,2,10,1,1,2, ,2,52,5,3,2,400.50096128038
2024,04,015027,051,11,02,02,010110,4,5,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2, , , , , ,3,500,2,5, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,3,3,2,1,2, ,2,74,2,5,2,400.50096128038
2024,04,015027,101,11,01,01,010110,4,5,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,2, ,2,1,2,2,3,1500,2,3, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,3,3,1,1,2, ,1,23,1,7,2,400.50096128038
2024,04,015037,008,11,01,01,010701,7,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2, ,2,2,2,2,3,1000,2,2, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,2,1,1,1,2, ,1,45,2,6,2,742.078129321631
2024,04,015037,024,11,01,01,010701,7,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2, ,2,2,2,2,3,1500,2,2, ,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,2,4,10,1,1,1,2, ,2,46,5,3,2,742.078129321631
2024,04,015037,029,11,01,01,010701,7,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,3, ,2,2, , ,3,600,2,1, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,2,2,1,1,2, ,1,91,2,3,2,742.078129321631
2024,04,015037,040,11,01,01,010701,7,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,3, ,2,2, , ,2,300,2,1, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,1,1,1,1,2, ,2,83,5,1,2,742.078129321631
2024,04,015037,052,11,01,01,010701,7,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,3, ,2,2, , ,2,400,2,1, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,10,1,1,1,2, ,2,88,3,1,2,742.078129321631
2024,04,015037,063,11,01,01,010701,7,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,3, ,1,1, , ,3,500,2,5, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,1,1,1,1,2, ,2,51,5,3,2,742.078129321631
2024,04,015046,002,11,01,01,010701,7,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,7,3,3, , ,3,800,3,2, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,1,3,1,1,2, ,2,41,3,4,2,853.389848641541
2024,04,015046,020,11,01,01,010701,7,4,2,2,2,2,2,2,2,1,2,2,2,2,7,0,0,0,0,0,0,0,1,0,0,0,0,0, , , , , , , ,3,2,2,2,2,2,2,2,2,3, , , ,3,3,3,2000,2,5, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,2,2,1,1,2, ,2,66,3,3,2,853.389848641541
2024,04,015046,075,11,01,01,010701,7,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,3, ,2,3, , ,2,1500,1,3, ,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,3,1,2,1,1,1,2, ,1,74,2,6,2,853.389848641541
2024,04,015046,110,11,01,01,010701,7,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,3, ,2,3, , ,2,5000,2,3, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,1,1,1,1,2, ,2,53,5,10,2,853.389848641541
2024,04,015046,128,11,01,01,010701,7,4,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2, ,3,3, , ,3,500,2,4, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,10,1,1,1,2, ,2,80,3,1,2,853.389848641541
2024,04,015064,003,11,01,01,010307,7,5,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,3, ,2,2, , ,3,500,2,1, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,2,1,1,1,2, ,2,65,3,4,2,742.078129253514
2024,04,015064,016,11,01,01,010307,7,5,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,3, ,2,2, , ,2,400,2,1, ,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,2,4,2,1,1,1,2, ,1,54,2,5,2,742.078129253514
2024,04,015064,046,11,01,01,010307,7,5,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,3, ,2,2, , ,3,600,2,2, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,10,1,1,1,2, ,2,87,3,3,2,742.078129253514
2024,04,015064,061,11,01,01,010307,7,5,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,6,2,2, , ,3,1000,2,3, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,2,2,1,1,2, ,1,47,5,6,2,742.078129253514
2024,04,015064,074,11,01,01,010307,7,5,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,3, ,2,2,2,2,3,600,2,2, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,2,2,1,1,2, ,1,48,2,4,2,742.078129253514
2024,04,015064,089,11,01,01,010307,7,5,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,3, ,2,2, , ,3,600,2,1, ,0,0,0,0,0,0,0,1, , , , , , , , , , , , ,3,3,1,1,2, ,2,38,1,3,2,742.078129253514
