Período,ÁMBITO GEOGRÁFICO,NIVEL DE CONFIANZA,Numero Faltas
Nov 2015 - Abr 2016,NACIONAL,NADA / POCO,76.388603210449205
Nov 2015 - Abr 2016,NACIONAL,SUFICIENTE / BASTANTE,19.134668350219702
Nov 2015 - Abr 2016,NACIONAL,NO SABE,4.4767265319824201
Nov 2015 - Abr 2016,URBANO,NADA / POCO,77.673179626464801
Nov 2015 - Abr 2016,URBANO,SUFICIENTE / BASTANTE,20.356216430663999
Nov 2015 - Abr 2016,URBANO,NO SABE,1.97060334682464
Nov 2015 - Abr 2016,RURAL,NADA / POCO,71.306083679199205
Nov 2015 - Abr 2016,RURAL,SUFICIENTE / BASTANTE,14.3015174865722
Nov 2015 - Abr 2016,RURAL,NO SABE,14.3923997879028
Dic 2015 - May 2016,NACIONAL,NADA / POCO,76.348304748535099
Dic 2015 - May 2016,NACIONAL,SUFICIENTE / BASTANTE,19.338199615478501
Dic 2015 - May 2016,NACIONAL,NO SABE,4.3134918212890598
Dic 2015 - May 2016,URBANO,NADA / POCO,77.658882141113196
Dic 2015 - May 2016,URBANO,SUFICIENTE / BASTANTE,20.362157821655199
Dic 2015 - May 2016,URBANO,NO SABE,1.9789562225341699
Dic 2015 - May 2016,RURAL,NADA / POCO,71.154075622558494
Dic 2015 - May 2016,RURAL,SUFICIENTE / BASTANTE,15.2799367904663
Dic 2015 - May 2016,RURAL,NO SABE,13.565987586975
Ene 2016 - Jun 2016,NACIONAL,NADA / POCO,75.910392761230398
Ene 2016 - Jun 2016,NACIONAL,SUFICIENTE / BASTANTE,19.848100662231399
Ene 2016 - Jun 2016,NACIONAL,NO SABE,4.2415046691894496
Ene 2016 - Jun 2016,URBANO,NADA / POCO,77.329666137695298
Ene 2016 - Jun 2016,URBANO,SUFICIENTE / BASTANTE,20.8510437011718
Ene 2016 - Jun 2016,URBANO,NO SABE,1.8192901611328101
Ene 2016 - Jun 2016,RURAL,NADA / POCO,70.263031005859304
Ene 2016 - Jun 2016,RURAL,SUFICIENTE / BASTANTE,15.857341766357401
Ene 2016 - Jun 2016,RURAL,NO SABE,13.8796234130859
Feb 2016 - Jul 2016,NACIONAL,NADA / POCO,75.514427185058494
Feb 2016 - Jul 2016,NACIONAL,SUFICIENTE / BASTANTE,19.861801147460898
Feb 2016 - Jul 2016,NACIONAL,NO SABE,4.6237716674804599
Feb 2016 - Jul 2016,URBANO,NADA / POCO,77.176826477050696
Feb 2016 - Jul 2016,URBANO,SUFICIENTE / BASTANTE,20.707036972045799
Feb 2016 - Jul 2016,URBANO,NO SABE,2.1161365509033199
Feb 2016 - Jul 2016,RURAL,NADA / POCO,68.889846801757798
Feb 2016 - Jul 2016,RURAL,SUFICIENTE / BASTANTE,16.493583679199201
Feb 2016 - Jul 2016,RURAL,NO SABE,14.616569519042899
Mar 2016 - Ago 2016,NACIONAL,NADA / POCO,75.347801208495994
Mar 2016 - Ago 2016,NACIONAL,SUFICIENTE / BASTANTE,19.8745727539062
Mar 2016 - Ago 2016,NACIONAL,NO SABE,4.7776284217834402
Mar 2016 - Ago 2016,URBANO,NADA / POCO,76.900329589843693
Mar 2016 - Ago 2016,URBANO,SUFICIENTE / BASTANTE,20.659439086913999
Mar 2016 - Ago 2016,URBANO,NO SABE,2.44023489952087
Mar 2016 - Ago 2016,RURAL,NADA / POCO,69.170700073242102
Mar 2016 - Ago 2016,RURAL,SUFICIENTE / BASTANTE,16.751802444458001
Mar 2016 - Ago 2016,RURAL,NO SABE,14.0774993896484
Abr 2016 - Sep 2016,NACIONAL,NADA / POCO,75.690216064453097
Abr 2016 - Sep 2016,NACIONAL,SUFICIENTE / BASTANTE,19.505018234252901
Abr 2016 - Sep 2016,NACIONAL,NO SABE,4.8047642707824698
Abr 2016 - Sep 2016,URBANO,NADA / POCO,77.222152709960895
Abr 2016 - Sep 2016,URBANO,SUFICIENTE / BASTANTE,20.1510314941406
Abr 2016 - Sep 2016,URBANO,NO SABE,2.6268134117126398
Abr 2016 - Sep 2016,RURAL,NADA / POCO,69.594566345214801
Abr 2016 - Sep 2016,RURAL,SUFICIENTE / BASTANTE,16.9345092773437
Abr 2016 - Sep 2016,RURAL,NO SABE,13.4709253311157
May 2016 - Oct 2016,NACIONAL,NADA / POCO,75.596603393554602
May 2016 - Oct 2016,NACIONAL,SUFICIENTE / BASTANTE,19.4716491699218
May 2016 - Oct 2016,NACIONAL,NO SABE,4.9317479133605904
May 2016 - Oct 2016,URBANO,NADA / POCO,77.119697570800696
May 2016 - Oct 2016,URBANO,SUFICIENTE / BASTANTE,20.157991409301701
May 2016 - Oct 2016,URBANO,NO SABE,2.7223124504089302
May 2016 - Oct 2016,RURAL,NADA / POCO,69.507293701171804
May 2016 - Oct 2016,RURAL,SUFICIENTE / BASTANTE,16.7276592254638
May 2016 - Oct 2016,RURAL,NO SABE,13.7650480270385
Jun 2016 - Nov 2016,NACIONAL,NADA / POCO,75.862190246582003
Jun 2016 - Nov 2016,NACIONAL,SUFICIENTE / BASTANTE,19.228488922119102
Jun 2016 - Nov 2016,NACIONAL,NO SABE,4.9093232154846103
