Período,ÁMBITO GEOGRÁFICO,NIVEL DE CONFIANZA,Numero Faltas
Nov 2015 - Abr 2016,NACIONAL,NADA / POCO,86.097816467285099
Nov 2015 - Abr 2016,NACIONAL,SUFICIENTE / BASTANTE,8.6734333038330007
Nov 2015 - Abr 2016,NACIONAL,NO SABE,5.2287502288818297
Nov 2015 - Abr 2016,URBANO,NADA / POCO,88.725753784179602
Nov 2015 - Abr 2016,URBANO,SUFICIENTE / BASTANTE,8.5777807235717702
Nov 2015 - Abr 2016,URBANO,NO SABE,2.6964643001556299
Nov 2015 - Abr 2016,RURAL,NADA / POCO,75.700172424316406
Nov 2015 - Abr 2016,RURAL,SUFICIENTE / BASTANTE,9.0518894195556605
Nov 2015 - Abr 2016,RURAL,NO SABE,15.247938156127899
Dic 2015 - May 2016,NACIONAL,NADA / POCO,85.924049377441406
Dic 2015 - May 2016,NACIONAL,SUFICIENTE / BASTANTE,8.9150629043579102
Dic 2015 - May 2016,NACIONAL,NO SABE,5.1608858108520499
Dic 2015 - May 2016,URBANO,NADA / POCO,88.504707336425696
Dic 2015 - May 2016,URBANO,SUFICIENTE / BASTANTE,8.7096576690673793
Dic 2015 - May 2016,URBANO,NO SABE,2.7856366634368799
Dic 2015 - May 2016,RURAL,NADA / POCO,75.696113586425696
Dic 2015 - May 2016,RURAL,SUFICIENTE / BASTANTE,9.7291450500488192
Dic 2015 - May 2016,RURAL,NO SABE,14.5747413635253
Ene 2016 - Jun 2016,NACIONAL,NADA / POCO,85.911178588867102
Ene 2016 - Jun 2016,NACIONAL,SUFICIENTE / BASTANTE,9.0549030303955007
Ene 2016 - Jun 2016,NACIONAL,NO SABE,5.0339179039001403
Ene 2016 - Jun 2016,URBANO,NADA / POCO,88.557540893554602
Ene 2016 - Jun 2016,URBANO,SUFICIENTE / BASTANTE,8.8491029739379794
Ene 2016 - Jun 2016,URBANO,NO SABE,2.5933582782745299
Ene 2016 - Jun 2016,RURAL,NADA / POCO,75.381172180175696
Ene 2016 - Jun 2016,RURAL,SUFICIENTE / BASTANTE,9.8737926483154208
Ene 2016 - Jun 2016,RURAL,NO SABE,14.745032310485801
Feb 2016 - Jul 2016,NACIONAL,NADA / POCO,85.418418884277301
Feb 2016 - Jul 2016,NACIONAL,SUFICIENTE / BASTANTE,9.0884017944335902
Feb 2016 - Jul 2016,NACIONAL,NO SABE,5.4931793212890598
Feb 2016 - Jul 2016,URBANO,NADA / POCO,88.137130737304602
Feb 2016 - Jul 2016,URBANO,SUFICIENTE / BASTANTE,8.8723354339599592
Feb 2016 - Jul 2016,URBANO,NO SABE,2.99053478240966
Feb 2016 - Jul 2016,RURAL,NADA / POCO,74.584495544433494
Feb 2016 - Jul 2016,RURAL,SUFICIENTE / BASTANTE,9.9494152069091708
Feb 2016 - Jul 2016,RURAL,NO SABE,15.466091156005801
Mar 2016 - Ago 2016,NACIONAL,NADA / POCO,84.681358337402301
Mar 2016 - Ago 2016,NACIONAL,SUFICIENTE / BASTANTE,9.3904275894165004
Mar 2016 - Ago 2016,NACIONAL,NO SABE,5.9282112121581996
Mar 2016 - Ago 2016,URBANO,NADA / POCO,87.238288879394503
Mar 2016 - Ago 2016,URBANO,SUFICIENTE / BASTANTE,9.0949907302856392
Mar 2016 - Ago 2016,URBANO,NO SABE,3.6667175292968701
Mar 2016 - Ago 2016,RURAL,NADA / POCO,74.508010864257798
Mar 2016 - Ago 2016,RURAL,SUFICIENTE / BASTANTE,10.565893173217701
Mar 2016 - Ago 2016,RURAL,NO SABE,14.926097869873001
Abr 2016 - Sep 2016,NACIONAL,NADA / POCO,84.304641723632798
Abr 2016 - Sep 2016,NACIONAL,SUFICIENTE / BASTANTE,9.5474796295165998
Abr 2016 - Sep 2016,NACIONAL,NO SABE,6.1478800773620597
Abr 2016 - Sep 2016,URBANO,NADA / POCO,86.814247131347599
Abr 2016 - Sep 2016,URBANO,SUFICIENTE / BASTANTE,9.2050123214721609
Abr 2016 - Sep 2016,URBANO,NO SABE,3.98074030876159
Abr 2016 - Sep 2016,RURAL,NADA / POCO,74.318809509277301
Abr 2016 - Sep 2016,RURAL,SUFICIENTE / BASTANTE,10.9101705551147
Abr 2016 - Sep 2016,RURAL,NO SABE,14.771022796630801
May 2016 - Oct 2016,NACIONAL,NADA / POCO,84.077056884765597
May 2016 - Oct 2016,NACIONAL,SUFICIENTE / BASTANTE,9.6412782669067294
May 2016 - Oct 2016,NACIONAL,NO SABE,6.2816638946533203
May 2016 - Oct 2016,URBANO,NADA / POCO,86.715347290039006
May 2016 - Oct 2016,URBANO,SUFICIENTE / BASTANTE,9.2603158950805593
May 2016 - Oct 2016,URBANO,NO SABE,4.0243344306945801
May 2016 - Oct 2016,RURAL,NADA / POCO,73.529197692870994
May 2016 - Oct 2016,RURAL,SUFICIENTE / BASTANTE,11.164361000061
May 2016 - Oct 2016,RURAL,NO SABE,15.306444168090801
Jun 2016 - Nov 2016,NACIONAL,NADA / POCO,83.748344421386705
Jun 2016 - Nov 2016,NACIONAL,SUFICIENTE / BASTANTE,9.9177770614624006
Jun 2016 - Nov 2016,NACIONAL,NO SABE,6.3338780403137198
Jun 2016 - Nov 2016,URBANO,NADA / POCO,86.358299255370994
Jun 2016 - Nov 2016,URBANO,SUFICIENTE / BASTANTE,9.5787611007690394
Jun 2016 - Nov 2016,URBANO,NO SABE,4.0629396438598597
Jun 2016 - Nov 2016,RURAL,NADA / POCO,73.304756164550696
Jun 2016 - Nov 2016,RURAL,SUFICIENTE / BASTANTE,11.2743320465087
Jun 2016 - Nov 2016,RURAL,NO SABE,15.420908927917401
