Período,ÁMBITO GEOGRÁFICO,NIVEL DE CONFIANZA,Numero Faltas
Nov 2015 - Abr 2016,NACIONAL,NADA / POCO,90.537307739257798
Nov 2015 - Abr 2016,NACIONAL,SUFICIENTE / BASTANTE,5.80751132965087
Nov 2015 - Abr 2016,NACIONAL,NO SABE,3.65517997741699
Nov 2015 - Abr 2016,URBANO,NADA / POCO,92.254814147949205
Nov 2015 - Abr 2016,URBANO,SUFICIENTE / BASTANTE,5.8681979179382298
Nov 2015 - Abr 2016,URBANO,NO SABE,1.8769840002059901
Nov 2015 - Abr 2016,RURAL,NADA / POCO,83.741851806640597
Nov 2015 - Abr 2016,RURAL,SUFICIENTE / BASTANTE,5.56739997863769
Nov 2015 - Abr 2016,RURAL,NO SABE,10.690752029418899
Dic 2015 - May 2016,NACIONAL,NADA / POCO,90.491554260253906
Dic 2015 - May 2016,NACIONAL,SUFICIENTE / BASTANTE,6.0286712646484304
Dic 2015 - May 2016,NACIONAL,NO SABE,3.47977495193481
Dic 2015 - May 2016,URBANO,NADA / POCO,92.141746520995994
Dic 2015 - May 2016,URBANO,SUFICIENTE / BASTANTE,6.0465450286865199
Dic 2015 - May 2016,URBANO,NO SABE,1.8117048740386901
Dic 2015 - May 2016,RURAL,NADA / POCO,83.951309204101506
Dic 2015 - May 2016,RURAL,SUFICIENTE / BASTANTE,5.9578299522399902
Dic 2015 - May 2016,RURAL,NO SABE,10.090858459472599
Ene 2016 - Jun 2016,NACIONAL,NADA / POCO,90.552764892578097
Ene 2016 - Jun 2016,NACIONAL,SUFICIENTE / BASTANTE,6.1282625198364196
Ene 2016 - Jun 2016,NACIONAL,NO SABE,3.3189721107482901
Ene 2016 - Jun 2016,URBANO,NADA / POCO,92.243247985839801
Ene 2016 - Jun 2016,URBANO,SUFICIENTE / BASTANTE,6.1381673812866202
Ene 2016 - Jun 2016,URBANO,NO SABE,1.6185829639434799
Ene 2016 - Jun 2016,RURAL,NADA / POCO,83.826240539550696
Ene 2016 - Jun 2016,RURAL,SUFICIENTE / BASTANTE,6.0888514518737704
Ene 2016 - Jun 2016,RURAL,NO SABE,10.0849094390869
Feb 2016 - Jul 2016,NACIONAL,NADA / POCO,89.993911743164006
Feb 2016 - Jul 2016,NACIONAL,SUFICIENTE / BASTANTE,6.36846876144409
Feb 2016 - Jul 2016,NACIONAL,NO SABE,3.6376202106475799
Feb 2016 - Jul 2016,URBANO,NADA / POCO,91.778404235839801
Feb 2016 - Jul 2016,URBANO,SUFICIENTE / BASTANTE,6.3461489677429102
Feb 2016 - Jul 2016,URBANO,NO SABE,1.87544357776641
Feb 2016 - Jul 2016,RURAL,NADA / POCO,82.882781982421804
Feb 2016 - Jul 2016,RURAL,SUFICIENTE / BASTANTE,6.4574117660522399
Feb 2016 - Jul 2016,RURAL,NO SABE,10.6598043441772
Mar 2016 - Ago 2016,NACIONAL,NADA / POCO,89.874549865722599
Mar 2016 - Ago 2016,NACIONAL,SUFICIENTE / BASTANTE,6.2366189956665004
Mar 2016 - Ago 2016,NACIONAL,NO SABE,3.8888306617736799
Mar 2016 - Ago 2016,URBANO,NADA / POCO,91.654899597167898
Mar 2016 - Ago 2016,URBANO,SUFICIENTE / BASTANTE,6.1762995719909597
Mar 2016 - Ago 2016,URBANO,NO SABE,2.1688032150268501
Mar 2016 - Ago 2016,RURAL,NADA / POCO,82.791015625
Mar 2016 - Ago 2016,RURAL,SUFICIENTE / BASTANTE,6.4766154289245597
Mar 2016 - Ago 2016,RURAL,NO SABE,10.7323656082153
Abr 2016 - Sep 2016,NACIONAL,NADA / POCO,89.958930969238196
Abr 2016 - Sep 2016,NACIONAL,SUFICIENTE / BASTANTE,6.04967832565307
Abr 2016 - Sep 2016,NACIONAL,NO SABE,3.9913904666900599
Abr 2016 - Sep 2016,URBANO,NADA / POCO,91.685470581054602
Abr 2016 - Sep 2016,URBANO,SUFICIENTE / BASTANTE,5.9165301322937003
Abr 2016 - Sep 2016,URBANO,NO SABE,2.3980028629302899
Abr 2016 - Sep 2016,RURAL,NADA / POCO,83.088973999023395
Abr 2016 - Sep 2016,RURAL,SUFICIENTE / BASTANTE,6.5794801712036097
Abr 2016 - Sep 2016,RURAL,NO SABE,10.331548690795801
May 2016 - Oct 2016,NACIONAL,NADA / POCO,89.663909912109304
May 2016 - Oct 2016,NACIONAL,SUFICIENTE / BASTANTE,6.0355868339538503
May 2016 - Oct 2016,NACIONAL,NO SABE,4.3005051612854004
May 2016 - Oct 2016,URBANO,NADA / POCO,91.355979919433494
