Período,ÁMBITO GEOGRÁFICO,NIVEL DE CONFIANZA,Numero Faltas
Nov 2015 - Abr 2016,NACIONAL,NADA / POCO,75.944564819335895
Nov 2015 - Abr 2016,NACIONAL,SUFICIENTE / BASTANTE,20.622890472412099
Nov 2015 - Abr 2016,NACIONAL,NO SABE,3.4325482845306299
Nov 2015 - Abr 2016,URBANO,NADA / POCO,76.52978515625
Nov 2015 - Abr 2016,URBANO,SUFICIENTE / BASTANTE,20.997272491455
Nov 2015 - Abr 2016,URBANO,NO SABE,2.4729433059692298
Nov 2015 - Abr 2016,RURAL,NADA / POCO,73.629081726074205
Nov 2015 - Abr 2016,RURAL,SUFICIENTE / BASTANTE,19.141616821288999
Nov 2015 - Abr 2016,RURAL,NO SABE,7.2293009757995597
Dic 2015 - May 2016,NACIONAL,NADA / POCO,76.3087158203125
Dic 2015 - May 2016,NACIONAL,SUFICIENTE / BASTANTE,20.109350204467699
Dic 2015 - May 2016,NACIONAL,NO SABE,3.5819318294525102
Dic 2015 - May 2016,URBANO,NADA / POCO,76.844314575195298
Dic 2015 - May 2016,URBANO,SUFICIENTE / BASTANTE,20.288364410400298
Dic 2015 - May 2016,URBANO,NO SABE,2.8673193454742401
Dic 2015 - May 2016,RURAL,NADA / POCO,74.185966491699205
Dic 2015 - May 2016,RURAL,SUFICIENTE / BASTANTE,19.399866104125898
Dic 2015 - May 2016,RURAL,NO SABE,6.4141645431518501
Ene 2016 - Jun 2016,NACIONAL,NADA / POCO,76.521026611328097
Ene 2016 - Jun 2016,NACIONAL,SUFICIENTE / BASTANTE,19.6667385101318
Ene 2016 - Jun 2016,NACIONAL,NO SABE,3.8122379779815598
Ene 2016 - Jun 2016,URBANO,NADA / POCO,77.158195495605398
Ene 2016 - Jun 2016,URBANO,SUFICIENTE / BASTANTE,19.727354049682599
Ene 2016 - Jun 2016,URBANO,NO SABE,3.1144518852233798
Ene 2016 - Jun 2016,RURAL,NADA / POCO,73.985694885253906
Ene 2016 - Jun 2016,RURAL,SUFICIENTE / BASTANTE,19.425540924072202
Ene 2016 - Jun 2016,RURAL,NO SABE,6.5887646675109801
Feb 2016 - Jul 2016,NACIONAL,NADA / POCO,75.993057250976506
Feb 2016 - Jul 2016,NACIONAL,SUFICIENTE / BASTANTE,19.857198715209901
Feb 2016 - Jul 2016,NACIONAL,NO SABE,4.1497473716735804
Feb 2016 - Jul 2016,URBANO,NADA / POCO,76.528213500976506
Feb 2016 - Jul 2016,URBANO,SUFICIENTE / BASTANTE,20.084213256835898
Feb 2016 - Jul 2016,URBANO,NO SABE,3.3875718116760201
Feb 2016 - Jul 2016,RURAL,NADA / POCO,73.860458374023395
Feb 2016 - Jul 2016,RURAL,SUFICIENTE / BASTANTE,18.952560424804599
Feb 2016 - Jul 2016,RURAL,NO SABE,7.1869788169860804
Mar 2016 - Ago 2016,NACIONAL,NADA / POCO,75.894027709960895
Mar 2016 - Ago 2016,NACIONAL,SUFICIENTE / BASTANTE,19.919088363647401
Mar 2016 - Ago 2016,NACIONAL,NO SABE,4.18688440322875
Mar 2016 - Ago 2016,URBANO,NADA / POCO,76.121910095214801
Mar 2016 - Ago 2016,URBANO,SUFICIENTE / BASTANTE,20.408800125121999
Mar 2016 - Ago 2016,URBANO,NO SABE,3.46928763389587
Mar 2016 - Ago 2016,RURAL,NADA / POCO,74.987342834472599
Mar 2016 - Ago 2016,RURAL,SUFICIENTE / BASTANTE,17.970647811889599
Mar 2016 - Ago 2016,RURAL,NO SABE,7.0420117378234801
Abr 2016 - Sep 2016,NACIONAL,NADA / POCO,75.856185913085895
Abr 2016 - Sep 2016,NACIONAL,SUFICIENTE / BASTANTE,19.846702575683501
Abr 2016 - Sep 2016,NACIONAL,NO SABE,4.2971158027648899
