Período,ÁMBITO GEOGRÁFICO,NIVEL DE CONFIANZA,Numero Faltas
Nov 2015 - Abr 2016,NACIONAL,NADA / POCO,72.1474609375
Nov 2015 - Abr 2016,NACIONAL,SUFICIENTE / BASTANTE,19.688463211059499
Nov 2015 - Abr 2016,NACIONAL,NO SABE,8.1640729904174805
Nov 2015 - Abr 2016,URBANO,NADA / POCO,73.923141479492102
Nov 2015 - Abr 2016,URBANO,SUFICIENTE / BASTANTE,21.159408569335898
Nov 2015 - Abr 2016,URBANO,NO SABE,4.9174523353576598
Nov 2015 - Abr 2016,RURAL,NADA / POCO,65.121864318847599
Nov 2015 - Abr 2016,RURAL,SUFICIENTE / BASTANTE,13.868551254272401
Nov 2015 - Abr 2016,RURAL,NO SABE,21.009580612182599
Dic 2015 - May 2016,NACIONAL,NADA / POCO,72.840599060058494
Dic 2015 - May 2016,NACIONAL,SUFICIENTE / BASTANTE,19.1246623992919
Dic 2015 - May 2016,NACIONAL,NO SABE,8.0347385406494105
Dic 2015 - May 2016,URBANO,NADA / POCO,74.701377868652301
Dic 2015 - May 2016,URBANO,SUFICIENTE / BASTANTE,20.360267639160099
Dic 2015 - May 2016,URBANO,NO SABE,4.9383559226989702
Dic 2015 - May 2016,RURAL,NADA / POCO,65.465759277343693
Dic 2015 - May 2016,RURAL,SUFICIENTE / BASTANTE,14.2275743484497
Dic 2015 - May 2016,RURAL,NO SABE,20.3066692352294
Ene 2016 - Jun 2016,NACIONAL,NADA / POCO,72.755477905273395
Ene 2016 - Jun 2016,NACIONAL,SUFICIENTE / BASTANTE,19.371679306030199
Ene 2016 - Jun 2016,NACIONAL,NO SABE,7.8728456497192303
Ene 2016 - Jun 2016,URBANO,NADA / POCO,74.670631408691406
Ene 2016 - Jun 2016,URBANO,SUFICIENTE / BASTANTE,20.6745281219482
Ene 2016 - Jun 2016,URBANO,NO SABE,4.6548385620117099
Ene 2016 - Jun 2016,RURAL,NADA / POCO,65.134956359863196
Ene 2016 - Jun 2016,RURAL,SUFICIENTE / BASTANTE,14.1875772476196
Ene 2016 - Jun 2016,RURAL,NO SABE,20.677465438842699
Feb 2016 - Jul 2016,NACIONAL,NADA / POCO,72.678520202636705
Feb 2016 - Jul 2016,NACIONAL,SUFICIENTE / BASTANTE,19.050273895263601
Feb 2016 - Jul 2016,NACIONAL,NO SABE,8.2712078094482404
Feb 2016 - Jul 2016,URBANO,NADA / POCO,74.554672241210895
Feb 2016 - Jul 2016,URBANO,SUFICIENTE / BASTANTE,20.53440284729
Feb 2016 - Jul 2016,URBANO,NO SABE,4.9109253883361799
Feb 2016 - Jul 2016,RURAL,NADA / POCO,65.202140808105398
Feb 2016 - Jul 2016,RURAL,SUFICIENTE / BASTANTE,13.1360988616943
Feb 2016 - Jul 2016,RURAL,NO SABE,21.6617622375488
Mar 2016 - Ago 2016,NACIONAL,NADA / POCO,72.269828796386705
Mar 2016 - Ago 2016,NACIONAL,SUFICIENTE / BASTANTE,19.200056076049801
Mar 2016 - Ago 2016,NACIONAL,NO SABE,8.5301189422607404
Mar 2016 - Ago 2016,URBANO,NADA / POCO,73.886215209960895
Mar 2016 - Ago 2016,URBANO,SUFICIENTE / BASTANTE,20.7850131988525
Mar 2016 - Ago 2016,URBANO,NO SABE,5.3287711143493599
Mar 2016 - Ago 2016,RURAL,NADA / POCO,65.838630676269503
Mar 2016 - Ago 2016,RURAL,SUFICIENTE / BASTANTE,12.893931388854901
Mar 2016 - Ago 2016,RURAL,NO SABE,21.2674350738525
Abr 2016 - Sep 2016,NACIONAL,NADA / POCO,71.567169189453097
Abr 2016 - Sep 2016,NACIONAL,SUFICIENTE / BASTANTE,19.626449584960898
Abr 2016 - Sep 2016,NACIONAL,NO SABE,8.8063840866088796
Abr 2016 - Sep 2016,URBANO,NADA / POCO,72.955207824707003
Abr 2016 - Sep 2016,URBANO,SUFICIENTE / BASTANTE,21.2770977020263
Abr 2016 - Sep 2016,URBANO,NO SABE,5.7676930427551198
Abr 2016 - Sep 2016,RURAL,NADA / POCO,66.044082641601506
Abr 2016 - Sep 2016,RURAL,SUFICIENTE / BASTANTE,13.0584506988525
Abr 2016 - Sep 2016,RURAL,NO SABE,20.897464752197202
May 2016 - Oct 2016,NACIONAL,NADA / POCO,71.133041381835895
May 2016 - Oct 2016,NACIONAL,SUFICIENTE / BASTANTE,19.7517070770263
May 2016 - Oct 2016,NACIONAL,NO SABE,9.11525058746337
May 2016 - Oct 2016,URBANO,NADA / POCO,72.256484985351506
May 2016 - Oct 2016,URBANO,SUFICIENTE / BASTANTE,21.617561340331999
May 2016 - Oct 2016,URBANO,NO SABE,6.1259522438049299
May 2016 - Oct 2016,RURAL,NADA / POCO,66.641532897949205
May 2016 - Oct 2016,RURAL,SUFICIENTE / BASTANTE,12.292034149169901
May 2016 - Oct 2016,RURAL,NO SABE,21.066432952880799
Jun 2016 - Nov 2016,NACIONAL,NADA / POCO,71.006767272949205
