Período,ÁMBITO GEOGRÁFICO,NIVEL DE CONFIANZA,Numero Faltas
Nov 2015 - Abr 2016,NACIONAL,NADA / POCO,67.925300598144503
Nov 2015 - Abr 2016,NACIONAL,SUFICIENTE / BASTANTE,24.9419250488281
Nov 2015 - Abr 2016,NACIONAL,NO SABE,7.1327762603759703
Nov 2015 - Abr 2016,URBANO,NADA / POCO,69.053108215332003
Nov 2015 - Abr 2016,URBANO,SUFICIENTE / BASTANTE,26.594018936157202
Nov 2015 - Abr 2016,URBANO,NO SABE,4.3528714179992596
Nov 2015 - Abr 2016,RURAL,NADA / POCO,63.463024139404197
Nov 2015 - Abr 2016,RURAL,SUFICIENTE / BASTANTE,18.405288696288999
Nov 2015 - Abr 2016,RURAL,NO SABE,18.131687164306602
Dic 2015 - May 2016,NACIONAL,NADA / POCO,68.626892089843693
Dic 2015 - May 2016,NACIONAL,SUFICIENTE / BASTANTE,24.513936996459901
Dic 2015 - May 2016,NACIONAL,NO SABE,6.85916948318481
Dic 2015 - May 2016,URBANO,NADA / POCO,69.838798522949205
Dic 2015 - May 2016,URBANO,SUFICIENTE / BASTANTE,26.0328254699707
Dic 2015 - May 2016,URBANO,NO SABE,4.1283750534057599
Dic 2015 - May 2016,RURAL,NADA / POCO,63.823734283447202
Dic 2015 - May 2016,RURAL,SUFICIENTE / BASTANTE,18.494104385375898
Dic 2015 - May 2016,RURAL,NO SABE,17.682161331176701
Ene 2016 - Jun 2016,NACIONAL,NADA / POCO,68.459136962890597
Ene 2016 - Jun 2016,NACIONAL,SUFICIENTE / BASTANTE,24.803661346435501
Ene 2016 - Jun 2016,NACIONAL,NO SABE,6.7372045516967702
Ene 2016 - Jun 2016,URBANO,NADA / POCO,69.534881591796804
Ene 2016 - Jun 2016,URBANO,SUFICIENTE / BASTANTE,26.474937438964801
Ene 2016 - Jun 2016,URBANO,NO SABE,3.9901804924011199
Ene 2016 - Jun 2016,RURAL,NADA / POCO,64.178680419921804
Ene 2016 - Jun 2016,RURAL,SUFICIENTE / BASTANTE,18.153560638427699
Ene 2016 - Jun 2016,RURAL,NO SABE,17.667757034301701
Feb 2016 - Jul 2016,NACIONAL,NADA / POCO,68.581680297851506
Feb 2016 - Jul 2016,NACIONAL,SUFICIENTE / BASTANTE,24.368392944335898
Feb 2016 - Jul 2016,NACIONAL,NO SABE,7.0499238967895499
Feb 2016 - Jul 2016,URBANO,NADA / POCO,69.793899536132798
Feb 2016 - Jul 2016,URBANO,SUFICIENTE / BASTANTE,26.023021697998001
Feb 2016 - Jul 2016,URBANO,NO SABE,4.1830768585204998
Feb 2016 - Jul 2016,RURAL,NADA / POCO,63.751052856445298
Feb 2016 - Jul 2016,RURAL,SUFICIENTE / BASTANTE,17.774782180786101
Feb 2016 - Jul 2016,RURAL,NO SABE,18.474163055419901
Mar 2016 - Ago 2016,NACIONAL,NADA / POCO,68.100723266601506
Mar 2016 - Ago 2016,NACIONAL,SUFICIENTE / BASTANTE,24.6114387512207
Mar 2016 - Ago 2016,NACIONAL,NO SABE,7.2878336906433097
Mar 2016 - Ago 2016,URBANO,NADA / POCO,69.056182861328097
Mar 2016 - Ago 2016,URBANO,SUFICIENTE / BASTANTE,26.3937683105468
Mar 2016 - Ago 2016,URBANO,NO SABE,4.5500521659851003
Mar 2016 - Ago 2016,RURAL,NADA / POCO,64.299232482910099
Mar 2016 - Ago 2016,RURAL,SUFICIENTE / BASTANTE,17.520025253295799
Mar 2016 - Ago 2016,RURAL,NO SABE,18.180742263793899
Abr 2016 - Sep 2016,NACIONAL,NADA / POCO,67.328079223632798
Abr 2016 - Sep 2016,NACIONAL,SUFICIENTE / BASTANTE,25.202722549438398
Abr 2016 - Sep 2016,NACIONAL,NO SABE,7.4692020416259703
Abr 2016 - Sep 2016,URBANO,NADA / POCO,67.964851379394503
Abr 2016 - Sep 2016,URBANO,SUFICIENTE / BASTANTE,27.195262908935501
Abr 2016 - Sep 2016,URBANO,NO SABE,4.8398876190185502
Abr 2016 - Sep 2016,RURAL,NADA / POCO,64.794326782226506
Abr 2016 - Sep 2016,RURAL,SUFICIENTE / BASTANTE,17.274316787719702
Abr 2016 - Sep 2016,RURAL,NO SABE,17.931358337402301
May 2016 - Oct 2016,NACIONAL,NADA / POCO,67.309005737304602
May 2016 - Oct 2016,NACIONAL,SUFICIENTE / BASTANTE,24.8446445465087
May 2016 - Oct 2016,NACIONAL,NO SABE,7.8463497161865199
May 2016 - Oct 2016,URBANO,NADA / POCO,67.881896972656193
May 2016 - Oct 2016,URBANO,SUFICIENTE / BASTANTE,26.895786285400298
May 2016 - Oct 2016,URBANO,NO SABE,5.2223191261291504
May 2016 - Oct 2016,RURAL,NADA / POCO,65.018608093261705
May 2016 - Oct 2016,RURAL,SUFICIENTE / BASTANTE,16.644199371337798
May 2016 - Oct 2016,RURAL,NO SABE,18.337194442748999
Jun 2016 - Nov 2016,NACIONAL,NADA / POCO,67.220344543457003
