Período,ÁMBITO GEOGRÁFICO,NIVEL DE CONFIANZA,Numero Faltas
Nov 2015 - Abr 2016,NACIONAL,NADA / POCO,69.877006530761705
Nov 2015 - Abr 2016,NACIONAL,SUFICIENTE / BASTANTE,16.200309753417901
Nov 2015 - Abr 2016,NACIONAL,NO SABE,13.9226865768432
Nov 2015 - Abr 2016,URBANO,NADA / POCO,73.204689025878906
Nov 2015 - Abr 2016,URBANO,SUFICIENTE / BASTANTE,17.613971710205
Nov 2015 - Abr 2016,URBANO,NO SABE,9.1813402175903303
Nov 2015 - Abr 2016,RURAL,NADA / POCO,56.7107543945312
Nov 2015 - Abr 2016,RURAL,SUFICIENTE / BASTANTE,10.607048034667899
Nov 2015 - Abr 2016,RURAL,NO SABE,32.682197570800703
Dic 2015 - May 2016,NACIONAL,NADA / POCO,69.690643310546804
Dic 2015 - May 2016,NACIONAL,SUFICIENTE / BASTANTE,16.654375076293899
Dic 2015 - May 2016,NACIONAL,NO SABE,13.654980659484799
Dic 2015 - May 2016,URBANO,NADA / POCO,72.993850708007798
Dic 2015 - May 2016,URBANO,SUFICIENTE / BASTANTE,18.038555145263601
Dic 2015 - May 2016,URBANO,NO SABE,8.9675951004028303
Dic 2015 - May 2016,RURAL,NADA / POCO,56.599006652832003
Dic 2015 - May 2016,RURAL,SUFICIENTE / BASTANTE,11.1684350967407
Dic 2015 - May 2016,RURAL,NO SABE,32.232555389404197
Ene 2016 - Jun 2016,NACIONAL,NADA / POCO,69.734642028808494
Ene 2016 - Jun 2016,NACIONAL,SUFICIENTE / BASTANTE,16.955327987670799
Ene 2016 - Jun 2016,NACIONAL,NO SABE,13.3100271224975
Ene 2016 - Jun 2016,URBANO,NADA / POCO,73.123428344726506
Ene 2016 - Jun 2016,URBANO,SUFICIENTE / BASTANTE,18.292688369750898
Ene 2016 - Jun 2016,URBANO,NO SABE,8.5838823318481392
Ene 2016 - Jun 2016,RURAL,NADA / POCO,56.250492095947202
Ene 2016 - Jun 2016,RURAL,SUFICIENTE / BASTANTE,11.633900642395
Ene 2016 - Jun 2016,RURAL,NO SABE,32.115608215332003
Feb 2016 - Jul 2016,NACIONAL,NADA / POCO,69.688827514648395
Feb 2016 - Jul 2016,NACIONAL,SUFICIENTE / BASTANTE,16.588314056396399
Feb 2016 - Jul 2016,NACIONAL,NO SABE,13.7228555679321
Feb 2016 - Jul 2016,URBANO,NADA / POCO,73.252059936523395
Feb 2016 - Jul 2016,URBANO,SUFICIENTE / BASTANTE,17.773410797119102
Feb 2016 - Jul 2016,URBANO,NO SABE,8.9745264053344709
Feb 2016 - Jul 2016,RURAL,NADA / POCO,55.4895210266113
Feb 2016 - Jul 2016,RURAL,SUFICIENTE / BASTANTE,11.8657684326171
Feb 2016 - Jul 2016,RURAL,NO SABE,32.644706726074197
Mar 2016 - Ago 2016,NACIONAL,NADA / POCO,70.112197875976506
Mar 2016 - Ago 2016,NACIONAL,SUFICIENTE / BASTANTE,16.083425521850501
Mar 2016 - Ago 2016,NACIONAL,NO SABE,13.8043756484985
Mar 2016 - Ago 2016,URBANO,NADA / POCO,73.627014160156193
Mar 2016 - Ago 2016,URBANO,SUFICIENTE / BASTANTE,17.0611171722412
Mar 2016 - Ago 2016,URBANO,NO SABE,9.3118705749511701
Mar 2016 - Ago 2016,RURAL,NADA / POCO,56.127685546875
