Período,ÁMBITO GEOGRÁFICO,NIVEL DE CONFIANZA,Numero Faltas
Nov 2015 - Abr 2016,NACIONAL,NADA / POCO,43.782253265380803
Nov 2015 - Abr 2016,NACIONAL,SUFICIENTE / BASTANTE,54.346126556396399
Nov 2015 - Abr 2016,NACIONAL,NO SABE,1.8716185092926001
Nov 2015 - Abr 2016,URBANO,NADA / POCO,42.378086090087798
Nov 2015 - Abr 2016,URBANO,SUFICIENTE / BASTANTE,56.442359924316399
Nov 2015 - Abr 2016,URBANO,NO SABE,1.17955374717712
Nov 2015 - Abr 2016,RURAL,NADA / POCO,49.337959289550703
Nov 2015 - Abr 2016,RURAL,SUFICIENTE / BASTANTE,46.052211761474602
Nov 2015 - Abr 2016,RURAL,NO SABE,4.6098270416259703
Dic 2015 - May 2016,NACIONAL,NADA / POCO,43.341930389404197
Dic 2015 - May 2016,NACIONAL,SUFICIENTE / BASTANTE,54.801887512207003
Dic 2015 - May 2016,NACIONAL,NO SABE,1.85618472099304
Dic 2015 - May 2016,URBANO,NADA / POCO,41.772991180419901
Dic 2015 - May 2016,URBANO,SUFICIENTE / BASTANTE,56.988460540771399
Dic 2015 - May 2016,URBANO,NO SABE,1.2385493516921899
Dic 2015 - May 2016,RURAL,NADA / POCO,49.560123443603501
Dic 2015 - May 2016,RURAL,SUFICIENTE / BASTANTE,46.135807037353501
Dic 2015 - May 2016,RURAL,NO SABE,4.3040671348571697
Ene 2016 - Jun 2016,NACIONAL,NADA / POCO,43.175804138183501
Ene 2016 - Jun 2016,NACIONAL,SUFICIENTE / BASTANTE,54.9144477844238
Ene 2016 - Jun 2016,NACIONAL,NO SABE,1.9097498655319201
Ene 2016 - Jun 2016,URBANO,NADA / POCO,41.660354614257798
Ene 2016 - Jun 2016,URBANO,SUFICIENTE / BASTANTE,57.108753204345703
Ene 2016 - Jun 2016,URBANO,NO SABE,1.23089015483856
Ene 2016 - Jun 2016,RURAL,NADA / POCO,49.205848693847599
Ene 2016 - Jun 2016,RURAL,SUFICIENTE / BASTANTE,46.1831855773925
Ene 2016 - Jun 2016,RURAL,NO SABE,4.6109685897827104
Feb 2016 - Jul 2016,NACIONAL,NADA / POCO,43.7360229492187
Feb 2016 - Jul 2016,NACIONAL,SUFICIENTE / BASTANTE,54.205799102783203
