Período,ÁMBITO GEOGRÁFICO,NIVEL DE CONFIANZA,Numero Faltas
Nov 2015 - Abr 2016,NACIONAL,NADA / POCO,53.920913696288999
Nov 2015 - Abr 2016,NACIONAL,SUFICIENTE / BASTANTE,43.158367156982401
Nov 2015 - Abr 2016,NACIONAL,NO SABE,2.9207174777984601
Nov 2015 - Abr 2016,URBANO,NADA / POCO,55.261959075927699
Nov 2015 - Abr 2016,URBANO,SUFICIENTE / BASTANTE,42.839611053466697
Nov 2015 - Abr 2016,URBANO,NO SABE,1.8984282016754099
Nov 2015 - Abr 2016,RURAL,NADA / POCO,48.614959716796797
Nov 2015 - Abr 2016,RURAL,SUFICIENTE / BASTANTE,44.4195556640625
Nov 2015 - Abr 2016,RURAL,NO SABE,6.9654860496520898
Dic 2015 - May 2016,NACIONAL,NADA / POCO,54.820480346679602
Dic 2015 - May 2016,NACIONAL,SUFICIENTE / BASTANTE,42.343994140625
Dic 2015 - May 2016,NACIONAL,NO SABE,2.8355257511138898
Dic 2015 - May 2016,URBANO,NADA / POCO,56.489875793457003
Dic 2015 - May 2016,URBANO,SUFICIENTE / BASTANTE,41.650104522705
Dic 2015 - May 2016,URBANO,NO SABE,1.86001861095428
Dic 2015 - May 2016,RURAL,NADA / POCO,48.204139709472599
Dic 2015 - May 2016,RURAL,SUFICIENTE / BASTANTE,45.094097137451101
Dic 2015 - May 2016,RURAL,NO SABE,6.7017660140991202
Ene 2016 - Jun 2016,NACIONAL,NADA / POCO,54.115707397460902
Ene 2016 - Jun 2016,NACIONAL,SUFICIENTE / BASTANTE,43.152091979980398
Ene 2016 - Jun 2016,NACIONAL,NO SABE,2.7321991920471098
Ene 2016 - Jun 2016,URBANO,NADA / POCO,55.922740936279197
Ene 2016 - Jun 2016,URBANO,SUFICIENTE / BASTANTE,42.39302444458
Ene 2016 - Jun 2016,URBANO,NO SABE,1.6842336654662999
Ene 2016 - Jun 2016,RURAL,NADA / POCO,46.925430297851499
Ene 2016 - Jun 2016,RURAL,SUFICIENTE / BASTANTE,46.172458648681598
Ene 2016 - Jun 2016,RURAL,NO SABE,6.9021096229553196
Feb 2016 - Jul 2016,NACIONAL,NADA / POCO,53.949806213378899
Feb 2016 - Jul 2016,NACIONAL,SUFICIENTE / BASTANTE,43.125843048095703
Feb 2016 - Jul 2016,NACIONAL,NO SABE,2.9243526458740199
Feb 2016 - Jul 2016,URBANO,NADA / POCO,55.874126434326101
Feb 2016 - Jul 2016,URBANO,SUFICIENTE / BASTANTE,42.264595031738203
Feb 2016 - Jul 2016,URBANO,NO SABE,1.8612778186798
Feb 2016 - Jul 2016,RURAL,NADA / POCO,46.281478881835902
Feb 2016 - Jul 2016,RURAL,SUFICIENTE / BASTANTE,46.557868957519503
Feb 2016 - Jul 2016,RURAL,NO SABE,7.1606512069702104
Mar 2016 - Ago 2016,NACIONAL,NADA / POCO,53.1174926757812
Mar 2016 - Ago 2016,NACIONAL,SUFICIENTE / BASTANTE,43.851188659667898
Mar 2016 - Ago 2016,NACIONAL,NO SABE,3.03131771087646
Mar 2016 - Ago 2016,URBANO,NADA / POCO,54.8099555969238
Mar 2016 - Ago 2016,URBANO,SUFICIENTE / BASTANTE,43.200939178466697
Mar 2016 - Ago 2016,URBANO,NO SABE,1.98910784721374
Mar 2016 - Ago 2016,RURAL,NADA / POCO,46.383644104003899
Mar 2016 - Ago 2016,RURAL,SUFICIENTE / BASTANTE,46.438362121582003
Mar 2016 - Ago 2016,RURAL,NO SABE,7.17799520492553
Abr 2016 - Sep 2016,NACIONAL,NADA / POCO,53.275127410888601
Abr 2016 - Sep 2016,NACIONAL,SUFICIENTE / BASTANTE,43.536357879638601
Abr 2016 - Sep 2016,NACIONAL,NO SABE,3.1885168552398602
Abr 2016 - Sep 2016,URBANO,NADA / POCO,54.8182373046875
Abr 2016 - Sep 2016,URBANO,SUFICIENTE / BASTANTE,43.037590026855398
Abr 2016 - Sep 2016,URBANO,NO SABE,2.14417505264282
Abr 2016 - Sep 2016,RURAL,NADA / POCO,47.1350288391113
Abr 2016 - Sep 2016,RURAL,SUFICIENTE / BASTANTE,45.520973205566399
Abr 2016 - Sep 2016,RURAL,NO SABE,7.3439974784851003
May 2016 - Oct 2016,NACIONAL,NADA / POCO,53.898731231689403
May 2016 - Oct 2016,NACIONAL,SUFICIENTE / BASTANTE,42.879100799560497
May 2016 - Oct 2016,NACIONAL,NO SABE,3.2221686840057302
May 2016 - Oct 2016,URBANO,NADA / POCO,55.470695495605398
May 2016 - Oct 2016,URBANO,SUFICIENTE / BASTANTE,42.311374664306598
May 2016 - Oct 2016,URBANO,NO SABE,2.21793007850646
May 2016 - Oct 2016,RURAL,NADA / POCO,47.614044189453097
May 2016 - Oct 2016,RURAL,SUFICIENTE / BASTANTE,45.148853302001903
May 2016 - Oct 2016,RURAL,NO SABE,7.2371034622192303
Jun 2016 - Nov 2016,NACIONAL,NADA / POCO,53.463146209716697
Jun 2016 - Nov 2016,NACIONAL,SUFICIENTE / BASTANTE,43.274185180663999
Jun 2016 - Nov 2016,NACIONAL,NO SABE,3.2626698017120299
Jun 2016 - Nov 2016,URBANO,NADA / POCO,55.030574798583899
Jun 2016 - Nov 2016,URBANO,SUFICIENTE / BASTANTE,42.625072479247997
Jun 2016 - Nov 2016,URBANO,NO SABE,2.3443512916564901
Jun 2016 - Nov 2016,RURAL,NADA / POCO,47.191165924072202
Jun 2016 - Nov 2016,RURAL,SUFICIENTE / BASTANTE,45.871562957763601
Jun 2016 - Nov 2016,RURAL,NO SABE,6.9372692108154199
Jul 2016 - Dic 2016,NACIONAL,NADA / POCO,54.067436218261697
Jul 2016 - Dic 2016,NACIONAL,SUFICIENTE / BASTANTE,42.710723876953097
Jul 2016 - Dic 2016,NACIONAL,NO SABE,3.2218384742736799
Jul 2016 - Dic 2016,URBANO,NADA / POCO,55.7180366516113
Jul 2016 - Dic 2016,URBANO,SUFICIENTE / BASTANTE,41.984298706054602
Jul 2016 - Dic 2016,URBANO,NO SABE,2.2976670265197701
Jul 2016 - Dic 2016,RURAL,NADA / POCO,47.434425354003899
Jul 2016 - Dic 2016,RURAL,SUFICIENTE / BASTANTE,45.629909515380803
Jul 2016 - Dic 2016,RURAL,NO SABE,6.93566846847534
Ago 2016 - Ene 2017,NACIONAL,NADA / POCO,54.603879999999997
Ago 2016 - Ene 2017,NACIONAL,SUFICIENTE / BASTANTE,42.297359999999998
Ago 2016 - Ene 2017,NACIONAL,NO SABE,3.0987559999999998
Ago 2016 - Ene 2017,URBANO,NADA / POCO,56.258389999999999
Ago 2016 - Ene 2017,URBANO,SUFICIENTE / BASTANTE,41.624890000000001
Ago 2016 - Ene 2017,URBANO,NO SABE,2.1167199999999999
Ago 2016 - Ene 2017,RURAL,NADA / POCO,47.921250000000001
Ago 2016 - Ene 2017,RURAL,SUFICIENTE / BASTANTE,45.01352
Ago 2016 - Ene 2017,RURAL,NO SABE,7.0652280000000003
Sep 2016 - Feb 2017,NACIONAL,NADA / POCO,55.835970000000003
Sep 2016 - Feb 2017,NACIONAL,SUFICIENTE / BASTANTE,41.078420000000001
Sep 2016 - Feb 2017,NACIONAL,NO SABE,3.0856140000000001
Sep 2016 - Feb 2017,URBANO,NADA / POCO,57.849519999999998
Sep 2016 - Feb 2017,URBANO,SUFICIENTE / BASTANTE,40.112290000000002
Sep 2016 - Feb 2017,URBANO,NO SABE,2.0381870000000002
Sep 2016 - Feb 2017,RURAL,NADA / POCO,47.65954
Sep 2016 - Feb 2017,RURAL,SUFICIENTE / BASTANTE,45.001559999999998
Sep 2016 - Feb 2017,RURAL,NO SABE,7.3388949999999999
Oct 2016 - Mar 2017,NACIONAL,NADA / POCO,55.936369999999997
Oct 2016 - Mar 2017,NACIONAL,SUFICIENTE / BASTANTE,41.112209999999997
Oct 2016 - Mar 2017,NACIONAL,NO SABE,2.951425
Oct 2016 - Mar 2017,URBANO,NADA / POCO,57.998080000000002
Oct 2016 - Mar 2017,URBANO,SUFICIENTE / BASTANTE,40.149909999999998
Oct 2016 - Mar 2017,URBANO,NO SABE,1.852015
Oct 2016 - Mar 2017,RURAL,NADA / POCO,47.5486
Oct 2016 - Mar 2017,RURAL,SUFICIENTE / BASTANTE,45.027180000000001
Oct 2016 - Mar 2017,RURAL,NO SABE,7.4242169999999996
Nov 2016 - Abr 2017,NACIONAL,NADA / POCO,55.574590000000001
Nov 2016 - Abr 2017,NACIONAL,SUFICIENTE / BASTANTE,41.55142
Nov 2016 - Abr 2017,NACIONAL,NO SABE,2.8739840000000001
Nov 2016 - Abr 2017,URBANO,NADA / POCO,57.552930000000003
Nov 2016 - Abr 2017,URBANO,SUFICIENTE / BASTANTE,40.672249999999998
Nov 2016 - Abr 2017,URBANO,NO SABE,1.774818
Nov 2016 - Abr 2017,RURAL,NADA / POCO,47.522150000000003
Nov 2016 - Abr 2017,RURAL,SUFICIENTE / BASTANTE,45.129919999999998
