Período,ÁMBITO GEOGRÁFICO,NIVEL DE CONFIANZA,Numero Faltas
Nov 2015 - Abr 2016,NACIONAL,NADA / POCO,63.984626770019503
Nov 2015 - Abr 2016,NACIONAL,SUFICIENTE / BASTANTE,31.1827392578125
Nov 2015 - Abr 2016,NACIONAL,NO SABE,4.8326349258422798
Nov 2015 - Abr 2016,URBANO,NADA / POCO,63.903697967529197
Nov 2015 - Abr 2016,URBANO,SUFICIENTE / BASTANTE,32.886093139648402
Nov 2015 - Abr 2016,URBANO,NO SABE,3.2102100849151598
Nov 2015 - Abr 2016,RURAL,NADA / POCO,64.304824829101506
Nov 2015 - Abr 2016,RURAL,SUFICIENTE / BASTANTE,24.443288803100501
Nov 2015 - Abr 2016,RURAL,NO SABE,11.2518854141235
Dic 2015 - May 2016,NACIONAL,NADA / POCO,64.034149169921804
Dic 2015 - May 2016,NACIONAL,SUFICIENTE / BASTANTE,30.832607269287099
Dic 2015 - May 2016,NACIONAL,NO SABE,5.1332449913024902
Dic 2015 - May 2016,URBANO,NADA / POCO,63.9541816711425
Dic 2015 - May 2016,URBANO,SUFICIENTE / BASTANTE,32.320037841796797
Dic 2015 - May 2016,URBANO,NO SABE,3.7257800102233798
Dic 2015 - May 2016,RURAL,NADA / POCO,64.351081848144503
Dic 2015 - May 2016,RURAL,SUFICIENTE / BASTANTE,24.937450408935501
Dic 2015 - May 2016,RURAL,NO SABE,10.711467742919901
Ene 2016 - Jun 2016,NACIONAL,NADA / POCO,63.059532165527301
Ene 2016 - Jun 2016,NACIONAL,SUFICIENTE / BASTANTE,31.717882156371999
Ene 2016 - Jun 2016,NACIONAL,NO SABE,5.2225856781005797
Ene 2016 - Jun 2016,URBANO,NADA / POCO,62.967094421386697
Ene 2016 - Jun 2016,URBANO,SUFICIENTE / BASTANTE,33.344951629638601
Ene 2016 - Jun 2016,URBANO,NO SABE,3.68795418739318
Ene 2016 - Jun 2016,RURAL,NADA / POCO,63.427345275878899
Ene 2016 - Jun 2016,RURAL,SUFICIENTE / BASTANTE,25.243688583373999
Ene 2016 - Jun 2016,RURAL,NO SABE,11.3289642333984
Feb 2016 - Jul 2016,NACIONAL,NADA / POCO,62.973011016845703
Feb 2016 - Jul 2016,NACIONAL,SUFICIENTE / BASTANTE,31.564012527465799
Feb 2016 - Jul 2016,NACIONAL,NO SABE,5.4629774093627903
Feb 2016 - Jul 2016,URBANO,NADA / POCO,62.928867340087798
Feb 2016 - Jul 2016,URBANO,SUFICIENTE / BASTANTE,33.166915893554602
Feb 2016 - Jul 2016,URBANO,NO SABE,3.9042146205902002
Feb 2016 - Jul 2016,RURAL,NADA / POCO,63.148914337158203
Feb 2016 - Jul 2016,RURAL,SUFICIENTE / BASTANTE,25.176519393920799
Feb 2016 - Jul 2016,RURAL,NO SABE,11.674567222595201
Mar 2016 - Ago 2016,NACIONAL,NADA / POCO,62.680767059326101
Mar 2016 - Ago 2016,NACIONAL,SUFICIENTE / BASTANTE,31.798812866210898
Mar 2016 - Ago 2016,NACIONAL,NO SABE,5.5204210281371999
Mar 2016 - Ago 2016,URBANO,NADA / POCO,62.598567962646399
Mar 2016 - Ago 2016,URBANO,SUFICIENTE / BASTANTE,33.321537017822202
Mar 2016 - Ago 2016,URBANO,NO SABE,4.0798974037170401
Mar 2016 - Ago 2016,RURAL,NADA / POCO,63.007816314697202
Mar 2016 - Ago 2016,RURAL,SUFICIENTE / BASTANTE,25.740297317504801
Mar 2016 - Ago 2016,RURAL,NO SABE,11.2518854141235
Abr 2016 - Sep 2016,NACIONAL,NADA / POCO,62.585498809814403
